Game Code,Full Hyperlink,Home Team,Away Team,Home Team Short,Away Team Short,Home Tipper,Away Tipper,First Scorer,Tipoff Winning Team,Tipoff Losing Team,Possession Gaining Player,Possession Gaining Player Link,First Scoring Team,Tipoff Winner,Tipoff Loser,Tipoff Winner Scores
202002270IND,https://www.basketball-reference.com/boxscores/pbp/202002270IND.html,Indiana Pacers,Portland Trail Blazers,IND,POR,M. Turner,H. Whiteside,M. Brogdon,POR,IND,C. Anthony,/players/a/anthoca01.html,IND,H. Whiteside,M. Turner,0
202002270OKC,https://www.basketball-reference.com/boxscores/pbp/202002270OKC.html,Oklahoma City Thunder,Sacramento Kings,OKC,SAC,S. Adams,H. Giles,S. Adams,OKC,SAC,S. Gilgeous-Alexander,/players/g/gilgesh01.html,OKC,S. Adams,H. Giles,1
202002270GSW,https://www.basketball-reference.com/boxscores/pbp/202002270GSW.html,Golden State Warriors,Los Angeles Lakers,GSW,LAL,M. Chriss,J. McGee,M. Chriss,GSW,LAL,D. Lee,/players/l/leeda03.html,GSW,M. Chriss,J. McGee,1
202002280ORL,https://www.basketball-reference.com/boxscores/pbp/202002280ORL.html,Orlando Magic,Minnesota Timberwolves,ORL,MIN,N. Vučević,N. Reid,N. Vučević,ORL,MIN,M. Fultz,/players/f/fultzma01.html,ORL,N. Vučević,N. Reid,1
202002280ATL,https://www.basketball-reference.com/boxscores/pbp/202002280ATL.html,Atlanta Hawks,Brooklyn Nets,ATL,BRK,J. Collins,J. Allen,T. Prince,BRK,ATL,C. LeVert,/players/l/leverca01.html,BRK,J. Allen,J. Collins,1
202002280TOR,https://www.basketball-reference.com/boxscores/pbp/202002280TOR.html,Toronto Raptors,Charlotte Hornets,TOR,CHO,R. Hollis-Jefferson,B. Biyombo,N. Powell,CHO,TOR,D. Graham,/players/g/grahade01.html,TOR,B. Biyombo,R. Hollis-Jefferson,0
202002280MEM,https://www.basketball-reference.com/boxscores/pbp/202002280MEM.html,Memphis Grizzlies,Sacramento Kings,MEM,SAC,,,,,,,,,
202002280MIA,https://www.basketball-reference.com/boxscores/pbp/202002280MIA.html,Miami Heat,Dallas Mavericks,MIA,DAL,B. Adebayo,K. Porziņģis,J. Butler,MIA,DAL,D. Jones,/players/j/jonesde02.html,MIA,B. Adebayo,K. Porziņģis,1
202002280MIL,https://www.basketball-reference.com/boxscores/pbp/202002280MIL.html,Milwaukee Bucks,Oklahoma City Thunder,MIL,OKC,B. Lopez,S. Adams,S. Gilgeous-Alexander,MIL,OKC,G. Antetokounmpo,/players/a/antetgi01.html,OKC,B. Lopez,S. Adams,0
202002280NOP,https://www.basketball-reference.com/boxscores/pbp/202002280NOP.html,New Orleans Pelicans,Cleveland Cavaliers,NOP,CLE,D. Favors,T. Thompson,K. Love,CLE,NOP,K. Love,/players/l/loveke01.html,CLE,T. Thompson,D. Favors,1
202002280PHO,https://www.basketball-reference.com/boxscores/pbp/202002280PHO.html,Phoenix Suns,Detroit Pistons,PHO,DET,D. Ayton,J. Henson,S. Mykhailiuk,DET,PHO,C. Wood,/players/w/woodch01.html,DET,J. Henson,D. Ayton,1
202002280UTA,https://www.basketball-reference.com/boxscores/pbp/202002280UTA.html,Utah Jazz,Washington Wizards,UTA,WAS,R. Gobert,I. Mahinmi,B. Bogdanović,UTA,WAS,M. Conley,/players/c/conlemi01.html,UTA,R. Gobert,I. Mahinmi,1
202002280LAC,https://www.basketball-reference.com/boxscores/pbp/202002280LAC.html,Los Angeles Clippers,Denver Nuggets,LAC,DEN,I. Zubac,N. Jokić,I. Zubac,LAC,DEN,M. Morris,/players/m/morrima03.html,LAC,I. Zubac,N. Jokić,1
