Game Code,Full Hyperlink,Home,Away,Home Short,Away Short,Home Tipper,Away Tipper,First Scorer,Tipoff Winning Team,Tipoff Losing Team,Possession Gaining Player,Possession Gaining Player Link,First Scoring Team,Scored Upon TeamTipoff Winner,Tipoff Loser,Tipoff Winner Scores
201310310CHI,https://www.basketball-reference.com/boxscores/pbp/201310310CHI.html,Chicago Bulls,New York Knicks,CHI,NYK,J. Noah,T. Chandler,T. Chandler,NYK,CHI,D. Rose,/players/r/rosede01.html,NYK,CHI,T. Chandler,J. Noah,1
201310310LAC,https://www.basketball-reference.com/boxscores/pbp/201310310LAC.html,Los Angeles Clippers,Golden State Warriors,LAC,GSW,D. Jordan,A. Bogut,C. Paul,GSW,LAC,C. Paul,/players/p/paulch01.html,GSW,LAC,A. Bogut,D. Jordan,1
201311010ORL,https://www.basketball-reference.com/boxscores/pbp/201311010ORL.html,Orlando Magic,New Orleans Pelicans,ORL,NOP,N. Vučević,A. Davis,A. Davis,NOP,ORL,J. Smith,/players/s/smithja02.html,NOP,ORL,A. Davis,N. Vučević,1
201311010WAS,https://www.basketball-reference.com/boxscores/pbp/201311010WAS.html,Washington Wizards,Philadelphia 76ers,WAS,PHI,S. Hawes,M. Gortat,T. Booker,PHI,WAS,T. Ariza,/players/a/arizatr01.html,PHI,WAS,M. Gortat,S. Hawes,1
201311010ATL,https://www.basketball-reference.com/boxscores/pbp/201311010ATL.html,Atlanta Hawks,Toronto Raptors,ATL,TOR,J. Valančiūnas,A. Horford,J. Valančiūnas,TOR,ATL,K. Lowry,/players/l/lowryky01.html,TOR,ATL,A. Horford,J. Valančiūnas,1
201311010BOS,https://www.basketball-reference.com/boxscores/pbp/201311010BOS.html,Boston Celtics,Milwaukee Bucks,BOS,MIL,L. Sanders,B. Bass,O. Mayo,MIL,BOS,E. İlyasova,/players/i/ilyaser01.html,MIL,BOS,B. Bass,L. Sanders,1
201311010BRK,https://www.basketball-reference.com/boxscores/pbp/201311010BRK.html,Brooklyn Nets,Miami Heat,BRK,MIA,B. Lopez,C. Bosh,M. Chalmers,MIA,BRK,U. Haslem,/players/h/hasleud01.html,MIA,BRK,C. Bosh,B. Lopez,1
201311010HOU,https://www.basketball-reference.com/boxscores/pbp/201311010HOU.html,Houston Rockets,Dallas Mavericks,HOU,DAL,D. Howard,S. Dalembert,S. Marion,DAL,HOU,J. Lin,/players/l/linje01.html,DAL,HOU,S. Dalembert,D. Howard,1
201311010MEM,https://www.basketball-reference.com/boxscores/pbp/201311010MEM.html,Memphis Grizzlies,Detroit Pistons,MEM,DET,M. Gasol,A. Drummond,G. Monroe,DET,MEM,W. Bynum,/players/b/bynumwi01.html,DET,MEM,A. Drummond,M. Gasol,1
201311010MIN,https://www.basketball-reference.com/boxscores/pbp/201311010MIN.html,Minnesota Timberwolves,Oklahoma City Thunder,MIN,OKC,N. Peković,S. Ibaka,S. Ibaka,OKC,MIN,R. Rubio,/players/r/rubiori01.html,OKC,MIN,S. Ibaka,N. Peković,1
201311010DEN,https://www.basketball-reference.com/boxscores/pbp/201311010DEN.html,Denver Nuggets,Portland Trail Blazers,DEN,POR,J. McGee,R. Lopez,A. Randolph,POR,DEN,T. Lawson,/players/l/lawsoty01.html,POR,DEN,R. Lopez,J. McGee,1
201311010PHO,https://www.basketball-reference.com/boxscores/pbp/201311010PHO.html,Phoenix Suns,Utah Jazz,PHO,UTA,M. Plumlee,E. Kanter,M. Plumlee,UTA,PHO,G. Dragić,/players/d/dragigo01.html,UTA,PHO,E. Kanter,M. Plumlee,1
201311010SAC,https://www.basketball-reference.com/boxscores/pbp/201311010SAC.html,Sacramento Kings,Los Angeles Clippers,SAC,LAC,D. Jordan,D. Cousins,D. Cousins,LAC,SAC,G. Vásquez,/players/v/vasqugr01.html,LAC,SAC,D. Cousins,D. Jordan,1
201311010LAL,https://www.basketball-reference.com/boxscores/pbp/201311010LAL.html,Los Angeles Lakers,San Antonio Spurs,LAL,SAS,T. Splitter,P. Gasol,P. Gasol,SAS,LAL,S. Blake,/players/b/blakest01.html,SAS,LAL,P. Gasol,T. Splitter,1
201311020IND,https://www.basketball-reference.com/boxscores/pbp/201311020IND.html,Indiana Pacers,Cleveland Cavaliers,IND,CLE,T. Thompson,R. Hibbert,P. George,CLE,IND,C. Watson,/players/w/watsocj01.html,CLE,IND,R. Hibbert,T. Thompson,1
201311020PHI,https://www.basketball-reference.com/boxscores/pbp/201311020PHI.html,Philadelphia 76ers,Chicago Bulls,PHI,CHI,J. Noah,S. Hawes,S. Hawes,CHI,PHI,J. Butler,/players/b/butleji01.html,CHI,PHI,S. Hawes,J. Noah,1
201311020NOP,https://www.basketball-reference.com/boxscores/pbp/201311020NOP.html,New Orleans Pelicans,Charlotte Bobcats,NOP,CHA,A. Davis,B. Biyombo,J. Holiday,CHA,NOP,K. Walker,/players/w/walkeke02.html,CHA,NOP,B. Biyombo,A. Davis,1
201311020DAL,https://www.basketball-reference.com/boxscores/pbp/201311020DAL.html,Dallas Mavericks,Memphis Grizzlies,DAL,MEM,M. Gasol,S. Dalembert,M. Gasol,MEM,DAL,D. Nowitzki,/players/n/nowitdi01.html,MEM,DAL,S. Dalembert,M. Gasol,1
201311020MIL,https://www.basketball-reference.com/boxscores/pbp/201311020MIL.html,Milwaukee Bucks,Toronto Raptors,MIL,TOR,,,,,,,,,,
201311020UTA,https://www.basketball-reference.com/boxscores/pbp/201311020UTA.html,Utah Jazz,Houston Rockets,UTA,HOU,D. Howard,D. Favors,C. Parsons,HOU,UTA,E. Kanter,/players/k/kanteen01.html,HOU,UTA,D. Favors,D. Howard,1
201311020POR,https://www.basketball-reference.com/boxscores/pbp/201311020POR.html,Portland Trail Blazers,San Antonio Spurs,POR,SAS,R. Lopez,T. Duncan,L. Aldridge,SAS,POR,T. Splitter,/players/s/splitti01.html,SAS,POR,T. Duncan,R. Lopez,1
201311020GSW,https://www.basketball-reference.com/boxscores/pbp/201311020GSW.html,Golden State Warriors,Sacramento Kings,GSW,SAC,D. Cousins,A. Bogut,A. Bogut,SAC,GSW,S. Curry,/players/c/curryst01.html,SAC,GSW,A. Bogut,D. Cousins,1
201311030DET,https://www.basketball-reference.com/boxscores/pbp/201311030DET.html,Detroit Pistons,Boston Celtics,DET,BOS,A. Drummond,B. Bass,A. Drummond,BOS,DET,W. Bynum,/players/b/bynumwi01.html,BOS,DET,B. Bass,A. Drummond,1
201311030MIA,https://www.basketball-reference.com/boxscores/pbp/201311030MIA.html,Miami Heat,Washington Wizards,MIA,WAS,M. Gortat,C. Bosh,M. Gortat,WAS,MIA,J. Wall,/players/w/walljo01.html,WAS,MIA,C. Bosh,M. Gortat,1
201311030ORL,https://www.basketball-reference.com/boxscores/pbp/201311030ORL.html,Orlando Magic,Brooklyn Nets,ORL,BRK,N. Vučević,B. Lopez,J. Maxiell,BRK,ORL,P. Pierce,/players/p/piercpa01.html,BRK,ORL,B. Lopez,N. Vučević,1
201311030OKC,https://www.basketball-reference.com/boxscores/pbp/201311030OKC.html,Oklahoma City Thunder,Phoenix Suns,OKC,PHO,M. Plumlee,S. Ibaka,R. Westbrook,PHO,OKC,E. Bledsoe,/players/b/bledser01.html,PHO,OKC,S. Ibaka,M. Plumlee,1
201311030NYK,https://www.basketball-reference.com/boxscores/pbp/201311030NYK.html,New York Knicks,Minnesota Timberwolves,NYK,MIN,N. Peković,T. Chandler,R. Felton,MIN,NYK,A. Bargnani,/players/b/bargnan01.html,MIN,NYK,T. Chandler,N. Peković,1
201311030LAL,https://www.basketball-reference.com/boxscores/pbp/201311030LAL.html,Los Angeles Lakers,Atlanta Hawks,LAL,ATL,A. Horford,P. Gasol,D. Carroll,ATL,LAL,S. Nash,/players/n/nashst01.html,ATL,LAL,P. Gasol,A. Horford,1
201311040CLE,https://www.basketball-reference.com/boxscores/pbp/201311040CLE.html,Cleveland Cavaliers,Minnesota Timberwolves,CLE,MIN,T. Thompson,N. Peković,C. Brewer,MIN,CLE,K. Love,/players/l/loveke01.html,MIN,CLE,N. Peković,T. Thompson,1
201311040PHI,https://www.basketball-reference.com/boxscores/pbp/201311040PHI.html,Philadelphia 76ers,Golden State Warriors,PHI,GSW,S. Hawes,A. Bogut,M. Carter-Williams,GSW,PHI,D. Lee,/players/l/leeda02.html,GSW,PHI,A. Bogut,S. Hawes,1
201311040MEM,https://www.basketball-reference.com/boxscores/pbp/201311040MEM.html,Memphis Grizzlies,Boston Celtics,MEM,BOS,M. Gasol,B. Bass,A. Bradley,BOS,MEM,T. Allen,/players/a/allento01.html,BOS,MEM,B. Bass,M. Gasol,1
201311040LAC,https://www.basketball-reference.com/boxscores/pbp/201311040LAC.html,Los Angeles Clippers,Houston Rockets,LAC,HOU,D. Jordan,D. Howard,J. Redick,HOU,LAC,C. Paul,/players/p/paulch01.html,HOU,LAC,D. Howard,D. Jordan,1
201311050TOR,https://www.basketball-reference.com/boxscores/pbp/201311050TOR.html,Toronto Raptors,Miami Heat,TOR,MIA,J. Valančiūnas,S. Battier,R. Gay,MIA,TOR,K. Lowry,/players/l/lowryky01.html,MIA,TOR,S. Battier,J. Valančiūnas,1
201311050BRK,https://www.basketball-reference.com/boxscores/pbp/201311050BRK.html,Brooklyn Nets,Utah Jazz,BRK,UTA,B. Lopez,D. Favors,P. Pierce,UTA,BRK,D. Williams,/players/w/willide01.html,UTA,BRK,D. Favors,B. Lopez,1
201311050DET,https://www.basketball-reference.com/boxscores/pbp/201311050DET.html,Detroit Pistons,Indiana Pacers,DET,IND,R. Hibbert,A. Drummond,C. Watson,IND,DET,B. Jennings,/players/j/jennibr01.html,IND,DET,A. Drummond,R. Hibbert,1
201311050NYK,https://www.basketball-reference.com/boxscores/pbp/201311050NYK.html,New York Knicks,Charlotte Bobcats,NYK,CHA,T. Chandler,B. Biyombo,C. Anthony,CHA,NYK,K. Walker,/players/w/walkeke02.html,CHA,NYK,B. Biyombo,T. Chandler,1
201311050NOP,https://www.basketball-reference.com/boxscores/pbp/201311050NOP.html,New Orleans Pelicans,Phoenix Suns,NOP,PHO,M. Plumlee,A. Davis,E. Bledsoe,PHO,NOP,J. Holiday,/players/h/holidjr01.html,PHO,NOP,A. Davis,M. Plumlee,1
201311050DAL,https://www.basketball-reference.com/boxscores/pbp/201311050DAL.html,Dallas Mavericks,Los Angeles Lakers,DAL,LAL,P. Gasol,S. Dalembert,S. Marion,LAL,DAL,S. Nash,/players/n/nashst01.html,LAL,DAL,S. Dalembert,P. Gasol,1
201311050DEN,https://www.basketball-reference.com/boxscores/pbp/201311050DEN.html,Denver Nuggets,San Antonio Spurs,DEN,SAS,J. McGee,T. Duncan,T. Duncan,SAS,DEN,K. Leonard,/players/l/leonaka01.html,SAS,DEN,T. Duncan,J. McGee,1
201311050POR,https://www.basketball-reference.com/boxscores/pbp/201311050POR.html,Portland Trail Blazers,Houston Rockets,POR,HOU,R. Lopez,D. Howard,W. Matthews,HOU,POR,J. Lin,/players/l/linje01.html,HOU,POR,D. Howard,R. Lopez,1
201311050SAC,https://www.basketball-reference.com/boxscores/pbp/201311050SAC.html,Sacramento Kings,Atlanta Hawks,SAC,ATL,A. Horford,D. Cousins,D. Cousins,ATL,SAC,P. Millsap,/players/m/millspa01.html,ATL,SAC,D. Cousins,A. Horford,1
201311060CHA,https://www.basketball-reference.com/boxscores/pbp/201311060CHA.html,Charlotte Bobcats,Toronto Raptors,CHA,TOR,J. Valančiūnas,B. Biyombo,J. McRoberts,TOR,CHA,K. Walker,/players/w/walkeke02.html,TOR,CHA,B. Biyombo,J. Valančiūnas,1
201311060IND,https://www.basketball-reference.com/boxscores/pbp/201311060IND.html,Indiana Pacers,Chicago Bulls,IND,CHI,J. Noah,R. Hibbert,L. Deng,CHI,IND,P. George,/players/g/georgpa01.html,CHI,IND,R. Hibbert,J. Noah,1
201311060ORL,https://www.basketball-reference.com/boxscores/pbp/201311060ORL.html,Orlando Magic,Los Angeles Clippers,ORL,LAC,N. Vučević,D. Jordan,A. Afflalo,LAC,ORL,C. Paul,/players/p/paulch01.html,LAC,ORL,D. Jordan,N. Vučević,1
201311060PHI,https://www.basketball-reference.com/boxscores/pbp/201311060PHI.html,Philadelphia 76ers,Washington Wizards,PHI,WAS,S. Hawes,M. Gortat,B. Beal,WAS,PHI,T. Ariza,/players/a/arizatr01.html,WAS,PHI,M. Gortat,S. Hawes,1
201311060BOS,https://www.basketball-reference.com/boxscores/pbp/201311060BOS.html,Boston Celtics,Utah Jazz,BOS,UTA,D. Favors,B. Bass,E. Kanter,UTA,BOS,E. Kanter,/players/k/kanteen01.html,UTA,BOS,B. Bass,D. Favors,1
201311060MEM,https://www.basketball-reference.com/boxscores/pbp/201311060MEM.html,Memphis Grizzlies,New Orleans Pelicans,MEM,NOP,M. Gasol,A. Davis,T. Allen,NOP,MEM,Z. Randolph,/players/r/randoza01.html,NOP,MEM,A. Davis,M. Gasol,1
201311060MIL,https://www.basketball-reference.com/boxscores/pbp/201311060MIL.html,Milwaukee Bucks,Cleveland Cavaliers,MIL,CLE,T. Thompson,J. Henson,J. Henson,CLE,MIL,N. Wolters,/players/w/woltena01.html,CLE,MIL,J. Henson,T. Thompson,1
201311060MIN,https://www.basketball-reference.com/boxscores/pbp/201311060MIN.html,Minnesota Timberwolves,Golden State Warriors,MIN,GSW,N. Peković,A. Bogut,K. Martin,GSW,MIN,S. Curry,/players/c/curryst01.html,GSW,MIN,A. Bogut,N. Peković,1
201311060SAS,https://www.basketball-reference.com/boxscores/pbp/201311060SAS.html,San Antonio Spurs,Phoenix Suns,SAS,PHO,M. Plumlee,T. Duncan,D. Green,PHO,SAS,T. Parker,/players/p/parketo01.html,PHO,SAS,T. Duncan,M. Plumlee,1
201311060OKC,https://www.basketball-reference.com/boxscores/pbp/201311060OKC.html,Oklahoma City Thunder,Dallas Mavericks,OKC,DAL,S. Ibaka,S. Dalembert,S. Dalembert,DAL,OKC,D. Nowitzki,/players/n/nowitdi01.html,DAL,OKC,S. Dalembert,S. Ibaka,1
201311070MIA,https://www.basketball-reference.com/boxscores/pbp/201311070MIA.html,Miami Heat,Los Angeles Clippers,MIA,LAC,D. Jordan,C. Bosh,B. Griffin,LAC,MIA,M. Chalmers,/players/c/chalmma01.html,LAC,MIA,C. Bosh,D. Jordan,1
201311070DEN,https://www.basketball-reference.com/boxscores/pbp/201311070DEN.html,Denver Nuggets,Atlanta Hawks,DEN,ATL,J. McGee,A. Horford,R. Foye,ATL,DEN,T. Lawson,/players/l/lawsoty01.html,ATL,DEN,A. Horford,J. McGee,1
201311070HOU,https://www.basketball-reference.com/boxscores/pbp/201311070HOU.html,Houston Rockets,Los Angeles Lakers,HOU,LAL,D. Howard,P. Gasol,C. Parsons,LAL,HOU,P. Beverley,/players/b/beverpa01.html,LAL,HOU,P. Gasol,D. Howard,1
201311080CHA,https://www.basketball-reference.com/boxscores/pbp/201311080CHA.html,Charlotte Bobcats,New York Knicks,CHA,NYK,B. Biyombo,A. Bargnani,C. Anthony,NYK,CHA,R. Felton,/players/f/feltora01.html,NYK,CHA,A. Bargnani,B. Biyombo,1
201311080IND,https://www.basketball-reference.com/boxscores/pbp/201311080IND.html,Indiana Pacers,Toronto Raptors,IND,TOR,J. Valančiūnas,R. Hibbert,J. Valančiūnas,TOR,IND,K. Lowry,/players/l/lowryky01.html,TOR,IND,R. Hibbert,J. Valančiūnas,1
201311080ORL,https://www.basketball-reference.com/boxscores/pbp/201311080ORL.html,Orlando Magic,Boston Celtics,ORL,BOS,N. Vučević,B. Bass,B. Bass,BOS,ORL,J. Green,/players/g/greenje02.html,BOS,ORL,B. Bass,N. Vučević,1
201311080PHI,https://www.basketball-reference.com/boxscores/pbp/201311080PHI.html,Philadelphia 76ers,Cleveland Cavaliers,PHI,CLE,T. Thompson,S. Hawes,T. Young,CLE,PHI,D. Waiters,/players/w/waitedi01.html,CLE,PHI,S. Hawes,T. Thompson,1
201311080WAS,https://www.basketball-reference.com/boxscores/pbp/201311080WAS.html,Washington Wizards,Brooklyn Nets,WAS,BRK,B. Lopez,M. Gortat,B. Lopez,BRK,WAS,D. Williams,/players/w/willide01.html,BRK,WAS,M. Gortat,B. Lopez,1
201311080DET,https://www.basketball-reference.com/boxscores/pbp/201311080DET.html,Detroit Pistons,Oklahoma City Thunder,DET,OKC,S. Ibaka,A. Drummond,A. Drummond,OKC,DET,B. Jennings,/players/j/jennibr01.html,OKC,DET,A. Drummond,S. Ibaka,1
201311080CHI,https://www.basketball-reference.com/boxscores/pbp/201311080CHI.html,Chicago Bulls,Utah Jazz,CHI,UTA,J. Noah,D. Favors,J. Noah,UTA,CHI,L. Deng,/players/d/denglu01.html,UTA,CHI,D. Favors,J. Noah,1
201311080MIN,https://www.basketball-reference.com/boxscores/pbp/201311080MIN.html,Minnesota Timberwolves,Dallas Mavericks,MIN,DAL,N. Peković,S. Dalembert,K. Love,DAL,MIN,J. Calderón,/players/c/caldejo01.html,DAL,MIN,S. Dalembert,N. Peković,1
201311080NOP,https://www.basketball-reference.com/boxscores/pbp/201311080NOP.html,New Orleans Pelicans,Los Angeles Lakers,NOP,LAL,P. Gasol,A. Davis,J. Smith,LAL,NOP,C. Kaman,/players/k/kamanch01.html,LAL,NOP,A. Davis,P. Gasol,1
201311080SAS,https://www.basketball-reference.com/boxscores/pbp/201311080SAS.html,San Antonio Spurs,Golden State Warriors,SAS,GSW,T. Duncan,A. Bogut,T. Duncan,GSW,SAS,T. Parker,/players/p/parketo01.html,GSW,SAS,A. Bogut,T. Duncan,1
201311080PHO,https://www.basketball-reference.com/boxscores/pbp/201311080PHO.html,Phoenix Suns,Denver Nuggets,PHO,DEN,M. Plumlee,J. McGee,T. Lawson,DEN,PHO,T. Lawson,/players/l/lawsoty01.html,DEN,PHO,J. McGee,M. Plumlee,1
201311080POR,https://www.basketball-reference.com/boxscores/pbp/201311080POR.html,Portland Trail Blazers,Sacramento Kings,POR,SAC,R. Lopez,D. Cousins,R. Lopez,SAC,POR,W. Matthews,/players/m/matthwe02.html,SAC,POR,D. Cousins,R. Lopez,1
201311090TOR,https://www.basketball-reference.com/boxscores/pbp/201311090TOR.html,Toronto Raptors,Utah Jazz,TOR,UTA,J. Valančiūnas,D. Favors,J. Valančiūnas,UTA,TOR,K. Lowry,/players/l/lowryky01.html,UTA,TOR,D. Favors,J. Valančiūnas,1
201311090ATL,https://www.basketball-reference.com/boxscores/pbp/201311090ATL.html,Atlanta Hawks,Orlando Magic,ATL,ORL,N. Vučević,A. Horford,J. Teague,ORL,ATL,J. Teague,/players/t/teaguje01.html,ORL,ATL,A. Horford,N. Vučević,1
201311090BRK,https://www.basketball-reference.com/boxscores/pbp/201311090BRK.html,Brooklyn Nets,Indiana Pacers,BRK,IND,B. Lopez,R. Hibbert,R. Hibbert,IND,BRK,K. Garnett,/players/g/garneke01.html,IND,BRK,R. Hibbert,B. Lopez,1
201311090CLE,https://www.basketball-reference.com/boxscores/pbp/201311090CLE.html,Cleveland Cavaliers,Philadelphia 76ers,CLE,PHI,T. Thompson,S. Hawes,M. Carter-Williams,PHI,CLE,K. Irving,/players/i/irvinky01.html,PHI,CLE,S. Hawes,T. Thompson,1
201311090MIA,https://www.basketball-reference.com/boxscores/pbp/201311090MIA.html,Miami Heat,Boston Celtics,MIA,BOS,K. Olynyk,C. Bosh,K. Olynyk,BOS,MIA,L. James,/players/j/jamesle01.html,BOS,MIA,C. Bosh,K. Olynyk,1
201311090HOU,https://www.basketball-reference.com/boxscores/pbp/201311090HOU.html,Houston Rockets,Los Angeles Clippers,HOU,LAC,D. Jordan,D. Howard,J. Redick,LAC,HOU,C. Paul,/players/p/paulch01.html,LAC,HOU,D. Howard,D. Jordan,1
201311090MEM,https://www.basketball-reference.com/boxscores/pbp/201311090MEM.html,Memphis Grizzlies,Golden State Warriors,MEM,GSW,M. Gasol,A. Bogut,Z. Randolph,GSW,MEM,M. Conley,/players/c/conlemi01.html,GSW,MEM,A. Bogut,M. Gasol,1
201311090MIL,https://www.basketball-reference.com/boxscores/pbp/201311090MIL.html,Milwaukee Bucks,Dallas Mavericks,MIL,DAL,J. Henson,S. Dalembert,D. Nowitzki,DAL,MIL,J. Calderón,/players/c/caldejo01.html,DAL,MIL,S. Dalembert,J. Henson,1
201311090SAC,https://www.basketball-reference.com/boxscores/pbp/201311090SAC.html,Sacramento Kings,Portland Trail Blazers,SAC,POR,R. Lopez,D. Cousins,D. Cousins,POR,SAC,L. Aldridge,/players/a/aldrila01.html,POR,SAC,D. Cousins,R. Lopez,1
201311100OKC,https://www.basketball-reference.com/boxscores/pbp/201311100OKC.html,Oklahoma City Thunder,Washington Wizards,OKC,WAS,S. Ibaka,M. Gortat,N. Hilário,WAS,OKC,K. Perkins,/players/p/perkike01.html,WAS,OKC,M. Gortat,S. Ibaka,1
201311100PHO,https://www.basketball-reference.com/boxscores/pbp/201311100PHO.html,Phoenix Suns,New Orleans Pelicans,PHO,NOP,M. Plumlee,A. Davis,J. Smith,NOP,PHO,J. Holiday,/players/h/holidjr01.html,NOP,PHO,A. Davis,M. Plumlee,1
201311100LAL,https://www.basketball-reference.com/boxscores/pbp/201311100LAL.html,Los Angeles Lakers,Minnesota Timberwolves,LAL,MIN,N. Peković,P. Gasol,P. Gasol,MIN,LAL,C. Kaman,/players/k/kamanch01.html,MIN,LAL,P. Gasol,N. Peković,1
201311100NYK,https://www.basketball-reference.com/boxscores/pbp/201311100NYK.html,New York Knicks,San Antonio Spurs,NYK,SAS,T. Duncan,A. Bargnani,D. Green,SAS,NYK,D. Green,/players/g/greenda02.html,SAS,NYK,A. Bargnani,T. Duncan,1
201311110CHA,https://www.basketball-reference.com/boxscores/pbp/201311110CHA.html,Charlotte Bobcats,Atlanta Hawks,CHA,ATL,J. McRoberts,A. Horford,K. Walker,ATL,CHA,A. Jefferson,/players/j/jeffeal01.html,ATL,CHA,A. Horford,J. McRoberts,1
201311110IND,https://www.basketball-reference.com/boxscores/pbp/201311110IND.html,Indiana Pacers,Memphis Grizzlies,IND,MEM,R. Hibbert,M. Gasol,D. West,MEM,IND,D. West,/players/w/westda01.html,MEM,IND,M. Gasol,R. Hibbert,1
201311110PHI,https://www.basketball-reference.com/boxscores/pbp/201311110PHI.html,Philadelphia 76ers,San Antonio Spurs,PHI,SAS,T. Splitter,S. Hawes,T. Splitter,SAS,PHI,T. Parker,/players/p/parketo01.html,SAS,PHI,S. Hawes,T. Splitter,1
201311110BOS,https://www.basketball-reference.com/boxscores/pbp/201311110BOS.html,Boston Celtics,Orlando Magic,BOS,ORL,N. Vučević,K. Olynyk,A. Afflalo,ORL,BOS,J. Maxiell,/players/m/maxieja01.html,ORL,BOS,K. Olynyk,N. Vučević,1
201311110CHI,https://www.basketball-reference.com/boxscores/pbp/201311110CHI.html,Chicago Bulls,Cleveland Cavaliers,CHI,CLE,T. Thompson,J. Noah,A. Bynum,CLE,CHI,C. Boozer,/players/b/boozeca01.html,CLE,CHI,J. Noah,T. Thompson,1
201311110HOU,https://www.basketball-reference.com/boxscores/pbp/201311110HOU.html,Houston Rockets,Toronto Raptors,HOU,TOR,J. Valančiūnas,D. Howard,J. Valančiūnas,TOR,HOU,A. Johnson,/players/j/johnsam01.html,TOR,HOU,D. Howard,J. Valančiūnas,1
