,Game Code,Full Hyperlink,Home,Away,Home Short,Away Short,Home Tipper,Away Tipper,First Scorer,Tip Winning Team,Tip Losing Team,Possession Gaining Player,Possession Gaining Player Link,First Scoring Team,Scored Upon Team,Tip Winner,Tip Winner Link,Tip Loser,Tip Loser Link,Tip Winner Scores
1099,201703280DET,https://www.basketball-reference.com/boxscores/pbp/201703280DET.html,Detroit Pistons,Miami Heat,DET,MIA,A. Drummond,H. Whiteside,R. McGruder,MIA,DET,R. McGruder,/players/m/mcgruro01.html,MIA,DET,H. Whiteside,/players/w/whiteha01.html,A. Drummond,/players/d/drumman01.html,1.0
1100,201703280HOU,https://www.basketball-reference.com/boxscores/pbp/201703280HOU.html,Houston Rockets,Golden State Warriors,HOU,GSW,C. Capela,Z. Pachulia,K. Thompson,HOU,GSW,E. Gordon,/players/g/gordoer01.html,GSW,HOU,C. Capela,/players/c/capelca01.html,Z. Pachulia,/players/p/pachuza01.html,0.0
1101,201703280POR,https://www.basketball-reference.com/boxscores/pbp/201703280POR.html,Portland Trail Blazers,Denver Nuggets,POR,DEN,J. Nurkić,N. Jokić,J. Nelson,DEN,POR,W. Chandler,/players/c/chandwi01.html,DEN,POR,N. Jokić,/players/j/jokicni01.html,J. Nurkić,/players/n/nurkiju01.html,1.0
1102,201703280LAL,https://www.basketball-reference.com/boxscores/pbp/201703280LAL.html,Los Angeles Lakers,Washington Wizards,LAL,WAS,I. Zubac,M. Gortat,J. Wall,WAS,LAL,J. Wall,/players/w/walljo01.html,WAS,LAL,M. Gortat,/players/g/gortama01.html,I. Zubac,/players/z/zubaciv01.html,1.0
1103,201703290ORL,https://www.basketball-reference.com/boxscores/pbp/201703290ORL.html,Orlando Magic,Oklahoma City Thunder,ORL,OKC,N. Vučević,S. Adams,V. Oladipo,OKC,ORL,V. Oladipo,/players/o/oladivi01.html,OKC,ORL,S. Adams,/players/a/adamsst01.html,N. Vučević,/players/v/vucevni01.html,1.0
1104,201703290PHI,https://www.basketball-reference.com/boxscores/pbp/201703290PHI.html,Philadelphia 76ers,Atlanta Hawks,PHI,ATL,R. Holmes,D. Howard,T. McConnell,ATL,PHI,D. Schröder,/players/s/schrode01.html,PHI,ATL,D. Howard,/players/h/howardw01.html,R. Holmes,/players/h/holmeri01.html,0.0
1105,201703290BOS,https://www.basketball-reference.com/boxscores/pbp/201703290BOS.html,Boston Celtics,Milwaukee Bucks,BOS,MIL,A. Johnson,T. Maker,K. Middleton,BOS,MIL,J. Crowder,/players/c/crowdja01.html,MIL,BOS,A. Johnson,/players/j/johnsam01.html,T. Maker,/players/m/makerth01.html,0.0
1106,201703290NYK,https://www.basketball-reference.com/boxscores/pbp/201703290NYK.html,New York Knicks,Miami Heat,NYK,MIA,K. Porziņģis,H. Whiteside,G. Dragić,MIA,NYK,R. McGruder,/players/m/mcgruro01.html,MIA,NYK,H. Whiteside,/players/w/whiteha01.html,K. Porziņģis,/players/p/porzikr01.html,1.0
1107,201703290TOR,https://www.basketball-reference.com/boxscores/pbp/201703290TOR.html,Toronto Raptors,Charlotte Hornets,TOR,CHO,J. Valančiūnas,C. Zeller,D. DeRozan,TOR,CHO,S. Ibaka,/players/i/ibakase01.html,TOR,CHO,J. Valančiūnas,/players/v/valanjo01.html,C. Zeller,/players/z/zelleco01.html,1.0
1108,201703290MEM,https://www.basketball-reference.com/boxscores/pbp/201703290MEM.html,Memphis Grizzlies,Indiana Pacers,MEM,IND,B. Wright,M. Turner,M. Conley,MEM,IND,V. Carter,/players/c/cartevi01.html,MEM,IND,B. Wright,/players/w/wrighbr03.html,M. Turner,/players/t/turnemy01.html,1.0
1109,201703290NOP,https://www.basketball-reference.com/boxscores/pbp/201703290NOP.html,New Orleans Pelicans,Dallas Mavericks,NOP,DAL,A. Davis,N. Noel,S. Curry,NOP,DAL,T. Frazier,/players/f/fraziti01.html,DAL,NOP,A. Davis,/players/d/davisan02.html,N. Noel,/players/n/noelne01.html,0.0
1110,201703290SAS,https://www.basketball-reference.com/boxscores/pbp/201703290SAS.html,San Antonio Spurs,Golden State Warriors,SAS,GSW,D. Dedmon,Z. Pachulia,D. Dedmon,SAS,GSW,D. Green,/players/g/greenda02.html,SAS,GSW,D. Dedmon,/players/d/dedmode01.html,Z. Pachulia,/players/p/pachuza01.html,1.0
