Game Code,Full Hyperlink,Home,Away,Home Short,Away Short,Home Tipper,Away Tipper,First Scorer,Tip Winning Team,Tip Losing Team,Possession Gaining Player,Possession Gaining Player Link,First Scoring Team,Scored Upon Team,Tip Winner,Tip Winner Link,Tip Loser,Tip Loser Link,Tip Winner Scores,Home TS Mu,Away TS Mu,Home TS Sigma,Away TS Sigma,Home Lifetime Appearances,Away Lifetime Appearances,Home Tipper Wins,Away Tipper Wins,Home Tipper Losses,Away Tipper Losses,Home Glicko Mu,Away Glicko Mu,Home Glicko Sigma,Away Glicko Sigma,Home Glicko Phi,Away Glicko Phi,Home Elo,Away Elo
199802120PHO,https://www.basketball-reference.com/boxscores/pbp/199802120PHO.html,Phoenix Suns,Portland Trail Blazers,PHO,POR,A. McDyess,A. Sabonis,J. Kidd,POR,PHO,G. Trent,/players/t/trentga01.html,PHO,POR,A. Sabonis,/players/s/sabonar01.html,A. McDyess,/players/m/mcdyean01.html,0.0,27.460479910977867,28.76211606467293,1.3984956422829729,1.4601142924103996,47,44,28,28,19,15,1649.6902012168575,1936.376934724232,0.6077075945047433,0.6026257071293519,238.2952123777716,222.25661558800755,1237.5339349239052,1256.6376961405588
199802120SAC,https://www.basketball-reference.com/boxscores/pbp/199802120SAC.html,Sacramento Kings,Denver Nuggets,SAC,DEN,M. Stewart,T. Battie,A. Johnson,SAC,DEN,A. Johnson,/players/j/johnsan02.html,SAC,DEN,M. Stewart,/players/s/stewami01.html,T. Battie,/players/b/battito01.html,1.0,19.813090244172614,23.71889509923223,2.0156830147068314,1.5622060849235007,26,35,5,14,21,22,1191.039440684614,1622.1732668625755,0.6004189248610382,0.6019590310708677,228.82856948902443,206.1831337458265,1136.7844007187505,1175.0322849078045
199802120TOR,https://www.basketball-reference.com/boxscores/pbp/199802120TOR.html,Toronto Raptors,Cleveland Cavaliers,TOR,CLE,M. Camby,Z. Ilgauskas,S. Kemp,CLE,TOR,W. Person,/players/p/persowe01.html,CLE,TOR,Z. Ilgauskas,/players/i/ilgauzy01.html,M. Camby,/players/c/cambyma01.html,1.0,25.085138423784553,28.040453569745438,1.6346389903550844,1.3640336287989867,35,48,18,30,17,17,1299.2445243870025,1633.2130726333137,0.6050525489291684,0.6115781139812476,234.00942031898342,222.48282344020473,1201.8208220971715,1253.9136685161004
199802120UTA,https://www.basketball-reference.com/boxscores/pbp/199802120UTA.html,Utah Jazz,Boston Celtics,UTA,BOS,G. Foster,T. Knight,J. Thomas,BOS,UTA,C. Billups,/players/b/billuch01.html,BOS,UTA,T. Knight,/players/k/knightr01.html,G. Foster,/players/f/fostegr01.html,1.0,26.285920752432684,24.774591765735448,2.4020457163443645,2.343815728577906,16,18,8,8,8,9,1395.9618726884562,1702.494197961635,0.6058374350928359,0.6045761782419762,234.3550031175185,203.39503856301602,1205.2471071285354,1197.3508845344275
199802120VAN,https://www.basketball-reference.com/boxscores/pbp/199802120VAN.html,Vancouver Grizzlies,Houston Rockets,VAN,HOU,O. Thorpe,K. Willis,H. Olajuwon,HOU,VAN,M. Maloney,/players/m/malonma01.html,HOU,VAN,K. Willis,/players/w/willike02.html,O. Thorpe,/players/t/thorpot01.html,1.0,21.873779229992284,29.188408320096194,1.5413035037317169,1.5525275560305465,41,36,13,23,28,12,1341.5701687091355,1937.0112903682445,0.6028971972501639,0.6036906723991026,215.3403343182896,220.09452157180667,1146.3328391767905,1250.7186846443824
199802130CHH,https://www.basketball-reference.com/boxscores/pbp/199802130CHH.html,Charlotte Hornets,Philadelphia 76ers,CHH,PHI,M. Geiger,T. Ratliff,T. Thomas,CHH,PHI,A. Mason,/players/m/masonan01.html,PHI,CHH,M. Geiger,/players/g/geigema01.html,T. Ratliff,/players/r/ratlith01.html,0.0,25.756552311716053,24.1141240427632,2.323261027518226,1.9431045378539966,13,20,6,9,7,12,1513.1719965736056,1473.8030425705242,0.6002747170109476,0.6037649066030193,213.42185242128585,214.3803034277361,1197.471147393279,1190.0362950603364
199802130CHI,https://www.basketball-reference.com/boxscores/pbp/199802130CHI.html,Chicago Bulls,Atlanta Hawks,CHI,ATL,Luc Longley,Dikembe Mutombo,Mookie Blaylock,ATL,CHI,,,ATL,CHI,Dikembe Mutombo,/players/m/mutomdi01.html,Luc Longley,/players/l/longllu01.html,1.0,26.154573971888333,29.359185761605364,1.3511539881565584,1.4481434608569823,49,50,26,35,23,14,1932.401147324611,1986.38611659834,0.6059326456159395,0.6092776763310397,239.5164558411776,220.8800409161993,1221.9312163730326,1273.8962161040406
199802130DEN,https://www.basketball-reference.com/boxscores/pbp/199802130DEN.html,Denver Nuggets,Minnesota Timberwolves,DEN,MIN,T. Battie,S. Roberts,S. Marbury,MIN,DEN,D. West,/players/w/westdo01.html,MIN,DEN,S. Roberts,/players/r/roberst01.html,T. Battie,/players/b/battito01.html,1.0,23.28037400981997,25.610434948038872,1.532417777900592,1.8209949065993523,37,24,14,12,23,11,1426.1819303034918,1489.1000352242481,0.6036588791466706,0.6052571253367971,218.46538677996472,214.328057374489,1169.4840664378505,1204.5428467296006
199802130GSW,https://www.basketball-reference.com/boxscores/pbp/199802130GSW.html,Golden State Warriors,Sacramento Kings,GSW,SAC,E. Dampier,M. Stewart,T. Delk,SAC,GSW,B. Owens,/players/o/owensbi01.html,GSW,SAC,M. Stewart,/players/s/stewami01.html,E. Dampier,/players/d/dampier01.html,0.0,20.72888925643983,20.542322604895773,1.4464968179432542,1.9482808338252446,48,28,12,6,36,21,1061.253747034401,1427.6162294611083,0.6028143913535751,0.6021897039318134,232.9766253672858,235.0971344545206,1115.6130489748402,1142.3326191887045
199802130IND,https://www.basketball-reference.com/boxscores/pbp/199802130IND.html,Indiana Pacers,Dallas Mavericks,IND,DAL,D. Davis,S. Bradley,D. Davis,IND,DAL,C. Mullin,/players/m/mullich01.html,IND,DAL,D. Davis,/players/d/davisda01.html,S. Bradley,/players/b/bradlsh01.html,1.0,24.109712571650665,29.80122796844845,1.4685508240188978,1.701228759501952,43,33,19,22,24,12,1646.5214725896735,1776.3961955704608,0.6080255270943636,0.6048647705288827,208.494618367574,208.37758311344916,1189.3961191553326,1249.8166652749962
