Game Code,Full Hyperlink,Home,Away,Home Short,Away Short,Home Tipper,Away Tipper,First Scorer,Tip Winning Team,Tip Losing Team,Possession Gaining Player,Possession Gaining Player Link,First Scoring Team,Scored Upon Team,Tip Winner,Tip Winner Link,Tip Loser,Tip Loser Link,Tip Winner Scores,Home TS Mu,Away TS Mu,Home TS Sigma,Away TS Sigma,Home Lifetime Appearances,Away Lifetime Appearances,Home Tipper Wins,Away Tipper Wins,Home Tipper Losses,Away Tipper Losses
202001280MIL,https://www.basketball-reference.com/boxscores/pbp/202001280MIL.html,Milwaukee Bucks,Washington Wizards,MIL,WAS,B. Lopez,I. Mahinmi,E. İlyasova,MIL,WAS,E. Bledsoe,/players/b/bledser01.html,MIL,WAS,B. Lopez,/players/l/lopezbr01.html,I. Mahinmi,/players/m/mahinia01.html,1.0,26.50903631284674,22.562214482669514,0.8508788501539598,0.8897538117914385,729,124,438,55,292,70
202001280DAL,https://www.basketball-reference.com/boxscores/pbp/202001280DAL.html,Dallas Mavericks,Phoenix Suns,DAL,PHO,K. Porziņģis,D. Ayton,M. Bridges,DAL,PHO,T. Hardaway,/players/h/hardati02.html,PHO,DAL,K. Porziņģis,/players/p/porzikr01.html,D. Ayton,/players/a/aytonde01.html,0.0,24.809217398492994,20.37775474450282,0.9337259944700242,1.0395666699689294,107,80,61,27,47,54
202001290IND,https://www.basketball-reference.com/boxscores/pbp/202001290IND.html,Indiana Pacers,Chicago Bulls,IND,CHI,D. Sabonis,L. Kornet,T. Young,CHI,IND,T. Young,/players/y/youngth01.html,CHI,IND,L. Kornet,/players/k/kornelu01.html,D. Sabonis,/players/s/sabondo01.html,1.0,17.702374584763362,26.356056476393643,1.795375971358021,2.4631212797135653,32,14,6,9,26,4
202001290BRK,https://www.basketball-reference.com/boxscores/pbp/202001290BRK.html,Brooklyn Nets,Detroit Pistons,BRK,DET,J. Allen,A. Drummond,J. Allen,BRK,DET,T. Prince,/players/p/princta02.html,BRK,DET,J. Allen,/players/a/allenja01.html,A. Drummond,/players/d/drumman01.html,1.0,26.02092487379534,27.496811756502936,0.8861656592867434,0.8609680839929981,154,538,101,397,53,142
202001290NYK,https://www.basketball-reference.com/boxscores/pbp/202001290NYK.html,New York Knicks,Memphis Grizzlies,NYK,MEM,T. Gibson,J. Jackson,T. Gibson,NYK,MEM,T. Gibson,/players/g/gibsota01.html,NYK,MEM,T. Gibson,/players/g/gibsota01.html,J. Jackson,/players/j/jacksja02.html,1.0,20.372989950459765,25.962981990033356,1.239334523801608,1.2944239086198805,51,48,17,34,34,15
202001290SAS,https://www.basketball-reference.com/boxscores/pbp/202001290SAS.html,San Antonio Spurs,Utah Jazz,SAS,UTA,J. Poeltl,R. Gobert,B. Forbes,SAS,UTA,B. Forbes,/players/f/forbebr01.html,SAS,UTA,J. Poeltl,/players/p/poeltja01.html,R. Gobert,/players/g/goberru01.html,1.0,22.60131321734287,25.25642213089418,1.3240719830765673,0.8331373353362952,41,380,18,214,23,167
202001290POR,https://www.basketball-reference.com/boxscores/pbp/202001290POR.html,Portland Trail Blazers,Houston Rockets,POR,HOU,H. Whiteside,C. Capela,P. Tucker,POR,HOU,C. Anthony,/players/a/anthoca01.html,HOU,POR,H. Whiteside,/players/w/whiteha01.html,C. Capela,/players/c/capelca01.html,0.0,24.006129404231327,23.02969693749568,0.8259829917559403,0.8308888819173305,314,284,168,135,146,150
202001290SAC,https://www.basketball-reference.com/boxscores/pbp/202001290SAC.html,Sacramento Kings,Oklahoma City Thunder,SAC,OKC,D. Dedmon,S. Adams,S. Gilgeous-Alexander,OKC,SAC,S. Gilgeous-Alexander,/players/g/gilgesh01.html,OKC,SAC,S. Adams,/players/a/adamsst01.html,D. Dedmon,/players/d/dedmode01.html,1.0,24.39090573511694,26.408750741422402,0.851542713722339,0.8434172682245311,180,461,103,319,77,144
202001300CLE,https://www.basketball-reference.com/boxscores/pbp/202001300CLE.html,Cleveland Cavaliers,Toronto Raptors,CLE,TOR,T. Thompson,S. Ibaka,D. Garland,TOR,CLE,P. Siakam,/players/s/siakapa01.html,CLE,TOR,S. Ibaka,/players/i/ibakase01.html,T. Thompson,/players/t/thomptr01.html,0.0,20.116254606690454,22.874449353716674,0.8405935274391787,0.8208417636599247,307,414,99,197,209,217
202001300WAS,https://www.basketball-reference.com/boxscores/pbp/202001300WAS.html,Washington Wizards,Charlotte Hornets,WAS,CHO,I. Mahinmi,C. Zeller,M. Bridges,WAS,CHO,G. Payton,/players/p/paytoga02.html,CHO,WAS,I. Mahinmi,/players/m/mahinia01.html,C. Zeller,/players/z/zelleco01.html,0.0,22.505704751836063,19.51371781677832,0.8893595223237395,0.8679875524459133,125,210,55,57,70,154
202001300ATL,https://www.basketball-reference.com/boxscores/pbp/202001300ATL.html,Atlanta Hawks,Philadelphia 76ers,ATL,PHI,D. Jones,J. Embiid,J. Collins,PHI,ATL,S. Milton,/players/m/miltosh01.html,ATL,PHI,J. Embiid,/players/e/embiijo01.html,D. Jones,/players/j/jonesda03.html,0.0,21.551061678043997,24.69319145438908,1.3327594659278859,0.839004077609807,44,208,16,122,28,85
202001300BOS,https://www.basketball-reference.com/boxscores/pbp/202001300BOS.html,Boston Celtics,Golden State Warriors,BOS,GSW,D. Theis,M. Chriss,D. Lee,GSW,BOS,D. Russell,/players/r/russeda01.html,GSW,BOS,M. Chriss,/players/c/chrisma01.html,D. Theis,/players/t/theisda01.html,1.0,20.121991388297737,18.91446613451701,1.3331239682232174,1.8663473091222975,46,23,15,6,31,16
202001300DEN,https://www.basketball-reference.com/boxscores/pbp/202001300DEN.html,Denver Nuggets,Utah Jazz,DEN,UTA,N. Jokić,R. Gobert,R. O'Neale,DEN,UTA,M. Morris,/players/m/morrimo01.html,UTA,DEN,N. Jokić,/players/j/jokicni01.html,R. Gobert,/players/g/goberru01.html,0.0,22.37928547036472,25.138137066481345,0.8339785112617942,0.8321355815748831,237,381,107,214,130,168
202001300LAC,https://www.basketball-reference.com/boxscores/pbp/202001300LAC.html,Los Angeles Clippers,Sacramento Kings,LAC,SAC,I. Zubac,D. Dedmon,D. Fox,SAC,LAC,D. Fox,/players/f/foxde01.html,SAC,LAC,D. Dedmon,/players/d/dedmode01.html,I. Zubac,/players/z/zubaciv01.html,1.0,22.449490436132326,24.320658000466562,0.9892579964802988,0.8511965018766046,95,181,42,103,53,77
202001310DET,https://www.basketball-reference.com/boxscores/pbp/202001310DET.html,Detroit Pistons,Toronto Raptors,DET,TOR,A. Drummond,S. Ibaka,S. Ibaka,TOR,DET,F. VanVleet,/players/v/vanvlfr01.html,TOR,DET,S. Ibaka,/players/i/ibakase01.html,A. Drummond,/players/d/drumman01.html,1.0,27.38419416787652,22.93289940194484,0.8594391822339977,0.8213138996081358,540,415,397,198,143,217
202001310BRK,https://www.basketball-reference.com/boxscores/pbp/202001310BRK.html,Brooklyn Nets,Chicago Bulls,BRK,CHI,J. Allen,L. Kornet,K. Irving,BRK,CHI,K. Irving,/players/i/irvinky01.html,BRK,CHI,J. Allen,/players/a/allenja01.html,L. Kornet,/players/k/kornelu01.html,1.0,26.140168705088787,26.53500610071105,0.8840245271307171,2.4176475419096515,155,14,102,10,53,5
