Game Code,Full Hyperlink,Home,Away,Home Short,Away Short,Home Tipper,Away Tipper,First Scorer,Tip Winning Team,Tip Losing Team,Possession Gaining Player,Possession Gaining Player Link,First Scoring Team,Scored Upon Team,Tip Winner,Tip Winner Link,Tip Loser,Tip Loser Link,Tip Winner Scores
199805240LAL,https://www.basketball-reference.com/boxscores/pbp/199805240LAL.html,Los Angeles Lakers,Utah Jazz,LAL,UTA,S. O'Neal,G. Foster,S. O'Neal,LAL,UTA,D. Fisher,/players/f/fishede01.html,LAL,UTA,S. O'Neal,/players/o/onealsh01.html,G. Foster,/players/f/fostegr01.html,1
199805250IND,https://www.basketball-reference.com/boxscores/pbp/199805250IND.html,Indiana Pacers,Chicago Bulls,IND,CHI,D. Davis,L. Longley,T. Kukoč,IND,CHI,M. Jackson,/players/j/jacksma01.html,CHI,IND,D. Davis,/players/d/davisda01.html,L. Longley,/players/l/longllu01.html,0
199805270CHI,https://www.basketball-reference.com/boxscores/pbp/199805270CHI.html,Chicago Bulls,Indiana Pacers,CHI,IND,L. Longley,D. Davis,S. Pippen,CHI,IND,R. Harper,/players/h/harpero01.html,CHI,IND,L. Longley,/players/l/longllu01.html,D. Davis,/players/d/davisda01.html,1
199805290IND,https://www.basketball-reference.com/boxscores/pbp/199805290IND.html,Indiana Pacers,Chicago Bulls,IND,CHI,D. Davis,L. Longley,R. Smits,IND,CHI,C. Mullin,/players/m/mullich01.html,IND,CHI,D. Davis,/players/d/davisda01.html,L. Longley,/players/l/longllu01.html,1
199805310CHI,https://www.basketball-reference.com/boxscores/pbp/199805310CHI.html,Chicago Bulls,Indiana Pacers,CHI,IND,L. Longley,D. Davis,D. Davis,CHI,IND,T. Kukoč,/players/k/kukocto01.html,IND,CHI,L. Longley,/players/l/longllu01.html,D. Davis,/players/d/davisda01.html,0
199806050UTA,https://www.basketball-reference.com/boxscores/pbp/199806050UTA.html,Utah Jazz,Chicago Bulls,UTA,CHI,G. Foster,L. Longley,J. Stockton,UTA,CHI,J. Stockton,/players/s/stockjo01.html,UTA,CHI,G. Foster,/players/f/fostegr01.html,L. Longley,/players/l/longllu01.html,1
199806070CHI,https://www.basketball-reference.com/boxscores/pbp/199806070CHI.html,Chicago Bulls,Utah Jazz,CHI,UTA,L. Longley,G. Ostertag,K. Malone,CHI,UTA,M. Jordan,/players/j/jordami01.html,UTA,CHI,L. Longley,/players/l/longllu01.html,G. Ostertag,/players/o/ostergr01.html,0
199806100CHI,https://www.basketball-reference.com/boxscores/pbp/199806100CHI.html,Chicago Bulls,Utah Jazz,CHI,UTA,L. Longley,K. Malone,K. Malone,UTA,CHI,J. Stockton,/players/s/stockjo01.html,UTA,CHI,K. Malone,/players/m/malonka01.html,L. Longley,/players/l/longllu01.html,1
199806120CHI,https://www.basketball-reference.com/boxscores/pbp/199806120CHI.html,Chicago Bulls,Utah Jazz,CHI,UTA,L. Longley,K. Malone,K. Malone,CHI,UTA,R. Harper,/players/h/harpero01.html,UTA,CHI,L. Longley,/players/l/longllu01.html,K. Malone,/players/m/malonka01.html,0
199806140UTA,https://www.basketball-reference.com/boxscores/pbp/199806140UTA.html,Utah Jazz,Chicago Bulls,UTA,CHI,K. Malone,L. Longley,S. Pippen,CHI,UTA,R. Harper,/players/h/harpero01.html,CHI,UTA,L. Longley,/players/l/longllu01.html,K. Malone,/players/m/malonka01.html,1
