Game Code,Full Hyperlink,Home,Away,Home Short,Away Short,Home Tipper,Home Tipper Link,Away Tipper,Away Tipper Link,First Scorer,Tip Winning Team,Tip Losing Team,Possession Gaining Player,Possession Gaining Player Link,First Scoring Team,Scored Upon Team,Tip Winner,Tip Winner Link,Tip Loser,Tip Loser Link,Tip Winner Scores,Home TS Mu,Away TS Mu,Home TS Sigma,Away TS Sigma,Home Lifetime Appearances,Away Lifetime Appearances,Home Tipper Wins,Away Tipper Wins,Home Tipper Losses,Away Tipper Losses
202102080LAL,https://www.basketball-reference.com/boxscores/pbp/202102080LAL.html,Los Angeles Lakers,Oklahoma City Thunder,LAL,OKC,D. Schröder,/players/s/schrode01.html,A. Horford,/players/h/horfoal01.html,D. Schröder,LAL,OKC,L. James,/players/j/jamesle01.html,LAL,OKC,D. Schröder,/players/s/schrode01.html,A. Horford,/players/h/horfoal01.html,1.0,25.0,24.19854743442543,8.333333333333334,0.8264702266323286,0,390,0,192,0,201
202102090DET,https://www.basketball-reference.com/boxscores/pbp/202102090DET.html,Detroit Pistons,Brooklyn Nets,DET,BRK,M. Plumlee,/players/p/plumlma01.html,D. Jordan,/players/j/jordade01.html,J. Harris,BRK,DET,J. Green,/players/g/greenje02.html,BRK,DET,D. Jordan,/players/j/jordade01.html,M. Plumlee,/players/p/plumlma01.html,1.0,22.20569171729401,24.604364746731267,0.8317720164850496,0.8257797607889559,285,783,116,511,169,274
202102090MIA,https://www.basketball-reference.com/boxscores/pbp/202102090MIA.html,Miami Heat,New York Knicks,MIA,NYK,B. Adebayo,/players/a/adebaba01.html,M. Robinson,/players/r/robinmi01.html,K. Olynyk,MIA,NYK,K. Olynyk,/players/o/olynyke01.html,MIA,NYK,B. Adebayo,/players/a/adebaba01.html,M. Robinson,/players/r/robinmi01.html,1.0,23.861117514001734,22.17969242776579,0.8589570736227982,1.186003037655935,155,52,79,22,76,31
202102090NOP,https://www.basketball-reference.com/boxscores/pbp/202102090NOP.html,New Orleans Pelicans,Houston Rockets,NOP,HOU,S. Adams,/players/a/adamsst01.html,D. Cousins,/players/c/couside01.html,L. Ball,NOP,HOU,Z. Williamson,/players/w/willizi01.html,NOP,HOU,S. Adams,/players/a/adamsst01.html,D. Cousins,/players/c/couside01.html,1.0,26.28164445407398,23.13498374423377,0.8489109267207258,0.8441388465476648,509,174,355,83,157,92
202102090SAS,https://www.basketball-reference.com/boxscores/pbp/202102090SAS.html,San Antonio Spurs,Golden State Warriors,SAS,GSW,J. Poeltl,/players/p/poeltja01.html,J. Toscano-Anderson,/players/t/toscaju01.html,D. Murray,SAS,GSW,D. Murray,/players/m/murrade01.html,SAS,GSW,J. Poeltl,/players/p/poeltja01.html,J. Toscano-Anderson,/players/t/toscaju01.html,1.0,22.708349466860728,15.750124987117488,1.1483629761651803,4.922013727625261,57,3,26,0,31,4
202102090POR,https://www.basketball-reference.com/boxscores/pbp/202102090POR.html,Portland Trail Blazers,Orlando Magic,POR,ORL,E. Kanter,/players/k/kanteen01.html,N. Vučević,/players/v/vucevni01.html,N. Vučević,ORL,POR,D. Bacon,/players/b/bacondw01.html,ORL,POR,N. Vučević,/players/v/vucevni01.html,E. Kanter,/players/k/kanteen01.html,1.0,20.85708831769789,18.86648004095382,1.0560252663629501,0.8573759581185855,82,550,28,204,54,345
202102090SAC,https://www.basketball-reference.com/boxscores/pbp/202102090SAC.html,Sacramento Kings,Philadelphia 76ers,SAC,PHI,M. Bagley,/players/b/baglema01.html,J. Embiid,/players/e/embiijo01.html,D. Fox,PHI,SAC,S. Curry,/players/c/curryse01.html,SAC,PHI,J. Embiid,/players/e/embiijo01.html,M. Bagley,/players/b/baglema01.html,0.0,21.52181322543096,24.919102412846907,2.25686522316412,0.8390445414482983,15,250,6,150,9,99
202102090UTA,https://www.basketball-reference.com/boxscores/pbp/202102090UTA.html,Utah Jazz,Boston Celtics,UTA,BOS,R. Gobert,/players/g/goberru01.html,D. Theis,/players/t/theisda01.html,J. Brown,UTA,BOS,R. O'Neale,/players/o/onealro01.html,BOS,UTA,R. Gobert,/players/g/goberru01.html,D. Theis,/players/t/theisda01.html,0.0,24.83271176426723,20.018618474315044,0.8247925392575153,1.0273735262294628,434,87,245,28,189,60
202102100WAS,https://www.basketball-reference.com/boxscores/pbp/202102100WAS.html,Washington Wizards,Toronto Raptors,WAS,TOR,A. Len,/players/l/lenal01.html,A. Baynes,/players/b/baynear01.html,R. Hachimura,TOR,WAS,P. Siakam,/players/s/siakapa01.html,WAS,TOR,A. Baynes,/players/b/baynear01.html,A. Len,/players/l/lenal01.html,0.0,22.029487082549622,23.305686133570877,0.866498246175418,0.9046994080180994,156,121,68,61,88,59
202102100DAL,https://www.basketball-reference.com/boxscores/pbp/202102100DAL.html,Dallas Mavericks,Atlanta Hawks,DAL,ATL,K. Porziņģis,/players/p/porzikr01.html,C. Capela,/players/c/capelca01.html,M. Kleber,DAL,ATL,M. Kleber,/players/k/klebima01.html,DAL,ATL,K. Porziņģis,/players/p/porzikr01.html,C. Capela,/players/c/capelca01.html,1.0,24.75433580983148,22.89927603816641,0.8890871339709089,0.8260558541067992,145,304,86,144,60,161
202102100BRK,https://www.basketball-reference.com/boxscores/pbp/202102100BRK.html,Brooklyn Nets,Indiana Pacers,BRK,IND,D. Jordan,/players/j/jordade01.html,M. Turner,/players/t/turnemy01.html,K. Irving,BRK,IND,J. Harden,/players/h/hardeja01.html,BRK,IND,D. Jordan,/players/j/jordade01.html,M. Turner,/players/t/turnemy01.html,1.0,24.6668599606252,20.545206143105986,0.8260510993098761,0.8410330690670969,783,322,512,112,274,212
202102100MIN,https://www.basketball-reference.com/boxscores/pbp/202102100MIN.html,Minnesota Timberwolves,Los Angeles Clippers,MIN,LAC,K. Towns,/players/t/townska01.html,S. Ibaka,/players/i/ibakase01.html,S. Ibaka,LAC,MIN,N. Batum,/players/b/batumni01.html,LAC,MIN,S. Ibaka,/players/i/ibakase01.html,K. Towns,/players/t/townska01.html,1.0,24.528734933308996,22.832333189344734,0.8271709154779913,0.825052504998242,366,451,187,215,180,236
202102100CHI,https://www.basketball-reference.com/boxscores/pbp/202102100CHI.html,Chicago Bulls,New Orleans Pelicans,CHI,NOP,D. Gafford,/players/g/gaffoda01.html,S. Adams,/players/a/adamsst01.html,Z. Williamson,NOP,CHI,Z. Williamson,/players/w/willizi01.html,NOP,CHI,S. Adams,/players/a/adamsst01.html,D. Gafford,/players/g/gaffoda01.html,1.0,18.96295108854678,26.340394838813236,2.1004769661600053,0.8489836198476145,17,511,5,356,12,157
202102100DEN,https://www.basketball-reference.com/boxscores/pbp/202102100DEN.html,Denver Nuggets,Cleveland Cavaliers,DEN,CLE,N. Jokić,/players/j/jokicni01.html,J. Allen,/players/a/allenja01.html,J. Allen,CLE,DEN,A. Drummond,/players/d/drumman01.html,CLE,DEN,J. Allen,/players/a/allenja01.html,N. Jokić,/players/j/jokicni01.html,1.0,23.410502634816513,26.035466418936426,0.8216870582440831,0.865310872026426,303,189,143,125,160,63
202102100LAL,https://www.basketball-reference.com/boxscores/pbp/202102100LAL.html,Los Angeles Lakers,Oklahoma City Thunder,LAL,OKC,M. Gasol,/players/g/gasolma01.html,A. Horford,/players/h/horfoal01.html,K. Williams,OKC,LAL,L. Dort,/players/d/dortlu01.html,OKC,LAL,A. Horford,/players/h/horfoal01.html,M. Gasol,/players/g/gasolma01.html,1.0,23.44240528577895,24.148920017860156,0.8210098296089398,0.8290246841233428,898,392,531,192,368,201
202102100PHO,https://www.basketball-reference.com/boxscores/pbp/202102100PHO.html,Phoenix Suns,Milwaukee Bucks,PHO,MIL,D. Ayton,/players/a/aytonde01.html,B. Lopez,/players/l/lopezbr01.html,G. Antetokounmpo,MIL,PHO,G. Antetokounmpo,/players/a/antetgi01.html,MIL,PHO,B. Lopez,/players/l/lopezbr01.html,D. Ayton,/players/a/aytonde01.html,1.0,21.543722826644277,26.72910446260378,0.9153205571404591,0.8546673200761047,125,784,49,478,76,306
202102110BOS,https://www.basketball-reference.com/boxscores/pbp/202102110BOS.html,Boston Celtics,Toronto Raptors,BOS,TOR,D. Theis,/players/t/theisda01.html,A. Baynes,/players/b/baynear01.html,D. Theis,BOS,TOR,K. Walker,/players/w/walkeke02.html,BOS,TOR,D. Theis,/players/t/theisda01.html,A. Baynes,/players/b/baynear01.html,1.0,19.954060583079073,23.393602047838634,1.0247263154155672,0.9029862919362154,88,121,28,62,60,60
202102110HOU,https://www.basketball-reference.com/boxscores/pbp/202102110HOU.html,Houston Rockets,Miami Heat,HOU,MIA,D. Cousins,/players/c/couside01.html,B. Adebayo,/players/a/adebaba01.html,P. Tucker,HOU,MIA,J. Wall,/players/w/walljo01.html,HOU,MIA,D. Cousins,/players/c/couside01.html,B. Adebayo,/players/a/adebaba01.html,1.0,23.076885736943794,23.935646330460074,0.8443011670670091,0.8584289255923155,175,156,83,80,92,77
202102110DET,https://www.basketball-reference.com/boxscores/pbp/202102110DET.html,Detroit Pistons,Indiana Pacers,DET,IND,I. Stewart,/players/s/stewais01.html,M. Turner,/players/t/turnemy01.html,B. Griffin,DET,IND,D. Wright,/players/w/wrighde01.html,DET,IND,I. Stewart,/players/s/stewais01.html,M. Turner,/players/t/turnemy01.html,1.0,25.0,20.496125708288158,8.333333333333334,0.8415751239883977,0,323,0,112,0,213
202102110GSW,https://www.basketball-reference.com/boxscores/pbp/202102110GSW.html,Golden State Warriors,Orlando Magic,GSW,ORL,J. Toscano-Anderson,/players/t/toscaju01.html,N. Vučević,/players/v/vucevni01.html,A. Wiggins,ORL,GSW,G. Clark,/players/c/clarkga01.html,GSW,ORL,N. Vučević,/players/v/vucevni01.html,J. Toscano-Anderson,/players/t/toscaju01.html,0.0,14.725269082078244,18.98419518582441,4.525927640598739,0.855857285692953,5,551,0,205,5,345
202102110POR,https://www.basketball-reference.com/boxscores/pbp/202102110POR.html,Portland Trail Blazers,Philadelphia 76ers,POR,PHI,E. Kanter,/players/k/kanteen01.html,J. Embiid,/players/e/embiijo01.html,J. Embiid,PHI,POR,S. Curry,/players/c/curryse01.html,PHI,POR,J. Embiid,/players/e/embiijo01.html,E. Kanter,/players/k/kanteen01.html,1.0,20.67907567192203,24.97292222690548,1.0489532494957412,0.8397072728503,83,251,28,151,55,99
202102120CHO,https://www.basketball-reference.com/boxscores/pbp/202102120CHO.html,Charlotte Hornets,Minnesota Timberwolves,CHO,MIN,C. Zeller,/players/z/zelleco01.html,K. Towns,/players/t/townska01.html,A. Edwards,MIN,CHO,J. Okogie,/players/o/okogijo01.html,MIN,CHO,K. Towns,/players/t/townska01.html,C. Zeller,/players/z/zelleco01.html,1.0,19.4630862881696,24.421828423676423,0.8590641821103671,0.8263609552537319,234,367,65,187,169,180
202102120WAS,https://www.basketball-reference.com/boxscores/pbp/202102120WAS.html,Washington Wizards,New York Knicks,WAS,NYK,A. Len,/players/l/lenal01.html,M. Robinson,/players/r/robinmi01.html,A. Len,WAS,NYK,R. Hachimura,/players/h/hachiru01.html,WAS,NYK,A. Len,/players/l/lenal01.html,M. Robinson,/players/r/robinmi01.html,1.0,21.94877781503206,22.038235840934327,0.8656218357874912,1.1769720026871398,156,53,68,22,88,32
202102120ATL,https://www.basketball-reference.com/boxscores/pbp/202102120ATL.html,Atlanta Hawks,San Antonio Spurs,ATL,SAS,C. Capela,/players/c/capelca01.html,J. Poeltl,/players/p/poeltja01.html,K. Johnson,SAS,ATL,K. Johnson,/players/j/johnske04.html,SAS,ATL,J. Poeltl,/players/p/poeltja01.html,C. Capela,/players/c/capelca01.html,1.0,22.83156712273268,22.764414494861164,0.826172831944203,1.1464999050342901,306,59,144,27,162,31
202102120DAL,https://www.basketball-reference.com/boxscores/pbp/202102120DAL.html,Dallas Mavericks,New Orleans Pelicans,DAL,NOP,K. Porziņģis,/players/p/porzikr01.html,S. Adams,/players/a/adamsst01.html,Z. Williamson,NOP,DAL,L. Ball,/players/b/balllo01.html,NOP,DAL,S. Adams,/players/a/adamsst01.html,K. Porziņģis,/players/p/porzikr01.html,1.0,24.83266378401055,26.367531836155546,0.8879107625534169,0.8506710466361872,147,512,87,357,61,157
202102120BOS,https://www.basketball-reference.com/boxscores/pbp/202102120BOS.html,Boston Celtics,Detroit Pistons,BOS,DET,D. Theis,/players/t/theisda01.html,I. Stewart,/players/s/stewais01.html,S. Ojeleye,BOS,DET,S. Ojeleye,/players/o/ojelese01.html,BOS,DET,D. Theis,/players/t/theisda01.html,I. Stewart,/players/s/stewais01.html,1.0,20.149000311451474,28.6292413490042,1.0181209597914636,6.7698261109249165,89,1,29,1,60,1
202102120CHI,https://www.basketball-reference.com/boxscores/pbp/202102120CHI.html,Chicago Bulls,Los Angeles Clippers,CHI,LAC,D. Gafford,/players/g/gaffoda01.html,S. Ibaka,/players/i/ibakase01.html,C. White,CHI,LAC,G. Temple,/players/t/templga01.html,CHI,LAC,D. Gafford,/players/g/gaffoda01.html,S. Ibaka,/players/i/ibakase01.html,1.0,18.79816604956523,22.938698313186812,2.0660681404589543,0.8242912276461702,17,451,5,216,12,237
202102120DEN,https://www.basketball-reference.com/boxscores/pbp/202102120DEN.html,Denver Nuggets,Oklahoma City Thunder,DEN,OKC,N. Jokić,/players/j/jokicni01.html,A. Horford,/players/h/horfoal01.html,A. Horford,OKC,DEN,L. Dort,/players/d/dortlu01.html,OKC,DEN,A. Horford,/players/h/horfoal01.html,N. Jokić,/players/j/jokicni01.html,1.0,23.3507366207926,24.228984692786465,0.8221075501446234,0.8287523959795617,304,393,143,193,161,201
