Game Code,Full Hyperlink,Home,Away,Home Short,Away Short,Home Tipper,Away Tipper,First Scorer,Tipoff Winning Team,Tipoff Losing Team,Possession Gaining Player,Possession Gaining Player Link,First Scoring Team,Scored Upon Team,Tipoff Winner,Tipoff Winner Link,Tipoff Loser,Tipoff Loser Link,Tipoff Winner Scores
200401130SEA,https://www.basketball-reference.com/boxscores/pbp/200401130SEA.html,Seattle SuperSonics,Cleveland Cavaliers,SEA,CLE,C. Booth,Z. Ilgauskas,Z. Ilgauskas,CLE,SEA,L. James,/players/j/jamesle01.html,CLE,SEA,Z. Ilgauskas,/players/i/ilgauzy01.html,C. Booth,/players/b/boothca01.html,1
200401130LAC,https://www.basketball-reference.com/boxscores/pbp/200401130LAC.html,Los Angeles Clippers,Portland Trail Blazers,LAC,POR,C. Kaman,D. Davis,M. Jarić,LAC,POR,M. Jarić,/players/j/jaricma01.html,LAC,POR,C. Kaman,/players/k/kamanch01.html,D. Davis,/players/d/davisda01.html,1
200401140BOS,https://www.basketball-reference.com/boxscores/pbp/200401140BOS.html,Boston Celtics,Houston Rockets,BOS,HOU,M. Blount,Y. Ming,Y. Ming,BOS,HOU,M. James,/players/j/jamesmi01.html,HOU,BOS,M. Blount,/players/b/blounma01.html,Y. Ming,/players/m/mingya01.html,0
200401140IND,https://www.basketball-reference.com/boxscores/pbp/200401140IND.html,Indiana Pacers,Atlanta Hawks,IND,ATL,J. O'Neal,T. Ratliff,M. World Peace,IND,ATL,J. Tinsley,/players/t/tinslja01.html,IND,ATL,J. O'Neal,/players/o/onealje01.html,T. Ratliff,/players/r/ratlith01.html,1
200401140DET,https://www.basketball-reference.com/boxscores/pbp/200401140DET.html,Detroit Pistons,Toronto Raptors,DET,TOR,B. Wallace,D. Marshall,D. Marshall,TOR,DET,V. Carter,/players/c/cartevi01.html,TOR,DET,D. Marshall,/players/m/marshdo01.html,B. Wallace,/players/w/wallabe01.html,1
200401140NJN,https://www.basketball-reference.com/boxscores/pbp/200401140NJN.html,New Jersey Nets,Washington Wizards,NJN,WAS,J. Collins,K. Brown,R. Rogers,NJN,WAS,J. Kidd,/players/k/kiddja01.html,NJN,WAS,J. Collins,/players/c/collija04.html,K. Brown,/players/b/brownkw01.html,1
200401140NYK,https://www.basketball-reference.com/boxscores/pbp/200401140NYK.html,New York Knicks,Orlando Magic,NYK,ORL,D. Mutombo,A. DeClercq,J. Howard,NYK,ORL,K. Thomas,/players/t/thomaku01.html,ORL,NYK,D. Mutombo,/players/m/mutomdi01.html,A. DeClercq,/players/d/declean01.html,0
200401140SAS,https://www.basketball-reference.com/boxscores/pbp/200401140SAS.html,San Antonio Spurs,Minnesota Timberwolves,SAS,MIN,T. Duncan,K. Garnett,M. Ginóbili,MIN,SAS,S. Cassell,/players/c/cassesa01.html,SAS,MIN,K. Garnett,/players/g/garneke01.html,T. Duncan,/players/d/duncati01.html,0
200401140DAL,https://www.basketball-reference.com/boxscores/pbp/200401140DAL.html,Dallas Mavericks,Philadelphia 76ers,DAL,PHI,S. Bradley,S. Dalembert,A. Iverson,PHI,DAL,G. Robinson,/players/r/robingl01.html,PHI,DAL,S. Dalembert,/players/d/dalemsa01.html,S. Bradley,/players/b/bradlsh01.html,1
200401140LAL,https://www.basketball-reference.com/boxscores/pbp/200401140LAL.html,Los Angeles Lakers,Denver Nuggets,LAL,DEN,H. Grant,M. Camby,V. Lenard,DEN,LAL,N. Hilário,/players/h/hilarne01.html,DEN,LAL,M. Camby,/players/c/cambyma01.html,H. Grant,/players/g/grantho01.html,1
200401150MEM,https://www.basketball-reference.com/boxscores/pbp/200401150MEM.html,Memphis Grizzlies,Chicago Bulls,MEM,CHI,P. Gasol,A. Davis,L. Wright,MEM,CHI,J. Williams,/players/w/willija02.html,MEM,CHI,P. Gasol,/players/g/gasolpa01.html,A. Davis,/players/d/davisan01.html,1
200401150MIL,https://www.basketball-reference.com/boxscores/pbp/200401150MIL.html,Milwaukee Bucks,New Jersey Nets,MIL,NJN,J. Smith,J. Collins,K. Kittles,NJN,MIL,J. Kidd,/players/k/kiddja01.html,NJN,MIL,J. Collins,/players/c/collija04.html,J. Smith,/players/s/smithjo02.html,1
200401150NOH,https://www.basketball-reference.com/boxscores/pbp/200401150NOH.html,New Orleans Hornets,Toronto Raptors,NOH,TOR,J. Magloire,D. Marshall,D. Marshall,NOH,TOR,P. Brown,/players/b/brownpj01.html,TOR,NOH,J. Magloire,/players/m/magloja01.html,D. Marshall,/players/m/marshdo01.html,0
