Game Code,Home Short,Away Short,Home Tipper,Away Tipper,Tip Winning Team,Tip Losing Team,First Scoring Team,Scored Upon Team,Tip Winner Scores,Home TS Mu,Away TS Mu,Home TS Sigma,Away TS Sigma,fanduelHomeOdds,draftkingsHomeOdds,mgmHomeOdds,bestHomeOdds,fanduelAwayOdds,draftkingsAwayOdds,mgmAwayOdds,bestAwayOdds
202104270BOS,BOS,OKC,Tristan Thompson,Moses Brown,OKC,BOS,OKC,BOS,True,20.344839902385097,24.09182815976971,0.8387938547286508,1.92207010785095,-138.0,-139,-140,-138,+108.0,+110,+100,+110
202104270CHO,CHO,MIL,Brook Lopez,Brook Lopez,MIL,CHO,CHO,MIL,False,12.843313015083805,26.38867271279857,4.080081999823133,0.8502238412950184,+122.0,+122,+100,+122,-154.0,-155,-140,-140
202104270IND,IND,POR,JaKarr Sampson,Jusuf Nurkic,POR,IND,POR,IND,True,15.918930907226944,26.143038986179228,3.930590213514745,0.845533883501441,-102.0,-107,-110,-102,-125.0,-120,-125,-120
202104270TOR,TOR,BRK,Khem Birch,Khem Birch,TOR,BRK,TOR,BRK,True,18.166049338264177,21.916823139417875,2.002752544517228,0.8602838158903224,+113.99999999999999,+106,-110,+114,-146.0,-136,-125,-125
202104270HOU,HOU,MIN,Christian Wood,Karl-Anthony Towns,MIN,HOU,HOU,MIN,False,23.813142527675428,24.990452547823843,1.4523248689329222,0.8300571919440828,-111.0,-107,-115,-107,-115.0,-120,-120,-115
202104270GSW,GSW,DAL,Kevon Looney,Dwight Powell,DAL,GSW,DAL,GSW,True,23.29949840221936,17.58497006957243,1.5722742690547933,1.208811016015991,-113.0,-113,-120,-113,-113.0,-113,-115,-113
202104280CLE,CLE,ORL,Jarrett Allen,Wendell Carter Jr.,CLE,ORL,CLE,ORL,True,26.022751499804624,22.71977631324514,0.8724404268986615,0.9105999004649976,-154.0,-129,-125,-125,+122.0,+101,-110,+122
202104280PHI,PHI,ATL,Joel Embiid,Clint Capela,PHI,ATL,PHI,ATL,True,25.22765587685566,22.79230614436486,0.8387926979635901,0.8273429322921718,-154.0,-139,-135,-135,+120.0,+110,-105,+120
202104280BOS,BOS,CHO,Tristan Thompson,Tristan Thompson,BOS,CHO,BOS,CHO,True,20.29354343678328,12.665045618423877,0.839466359297738,3.987766880834308,-150.0,-125,-135,-125,+118.0,+100.00000000000001,-105,+118
202104280NYK,NYK,CHI,Nerlens Noel,Nikola Vucevic,NYK,CHI,NYK,CHI,True,22.664384868898107,18.63717510803224,0.8414108214789292,0.8581369157954165,-148.0,-125,-125,-125,+115.99999999999999,-103,-110,+116
202104280WAS,WAS,LAL,Alex Len,Andre Drummond,LAL,WAS,LAL,WAS,True,21.13565221319553,27.3383099688357,0.8509142855896574,0.8543032332530772,+126.0,+105,-115,+126,-162.0,-134,-120,-120
202104280MIA,MIA,SAS,Bam Adebayo,Jakob Poeltl,SAS,MIA,MIA,SAS,False,24.06667228992252,22.95572096340892,0.8490147140494081,0.9756825014392414,-132.0,-124,-125,-124,+104.0,-103,-110,+104
202104280DEN,DEN,NOP,Nikola Jokic,Steven Adams,DEN,NOP,DEN,NOP,True,23.351455432469304,26.82654162311057,0.8229945551126042,0.8546376483496249,+110.00000000000001,-113,-125,+110,-140.0,-113,-110,-110
202104280MEM,MEM,POR,Jonas Valanciunas,Jusuf Nurkic,POR,MEM,POR,MEM,True,23.35270407246701,26.15937020248133,0.8271554825612156,0.8481744034691611,+108.0,-113.59223300970874,-120,+108,-138.0,-107,-115,-107
202104280PHO,PHO,LAC,Ivica Zubac,Ivica Zubac,LAC,PHO,PHO,LAC,False,22.455913981693246,22.136515745646363,0.8699229215862393,0.8684000389680367,-120.0,-129,-125,-120,-106.0,+101,-110,+101
202104280SAC,SAC,UTA,Richaun Holmes,Rudy Gobert,SAC,UTA,SAC,UTA,True,22.78163794579173,24.905395203701595,0.9415191961026348,0.8306636992554681,+102.0,+110,-105,+110,-130.0,-139,-135,-130
202104290DET,DET,DAL,Isaiah Stewart,Dwight Powell,DAL,DET,DAL,DET,True,19.40712831833628,17.90683029200968,3.3575873197105808,1.1950864834046138,+112.00000000000001,+101,-105,+112,-142.0,-129,-135,-129
202104290IND,IND,BRK,JaKarr Sampson,JaKarr Sampson,BRK,IND,BRK,IND,True,15.56925231606744,21.781292275478577,3.784586124766455,0.8587472269343931,+102.0,+105,-105,+105,-130.0,-134,-135,-130
202104290HOU,HOU,MIL,Christian Wood,Brook Lopez,MIL,HOU,MIL,HOU,True,23.587533654617324,26.39648488411901,1.4323679762890291,0.8534526220650369,+140.0,+134.59715639810426,+100,+140,-180.0,-152,-140,-140
202104290MIN,MIN,GSW,Karl-Anthony Towns,Kevon Looney,MIN,GSW,GSW,MIN,False,25.064647187507955,22.7560399857804,0.8300374107917752,1.537898160876899,-104.0,-106,-110,-104,-122.0,-121,-125,-121
202104290DEN,DEN,TOR,Nikola Jokic,Khem Birch,DEN,TOR,TOR,DEN,False,23.47907175506259,18.89501059607376,0.8219397339055622,1.93407668647087,-128.0,-139,-125,-125,+100.0,+110,-110,+110
202104290OKC,OKC,NOP,Moses Brown,Willy Hernangomez,OKC,NOP,NOP,OKC,False,24.359045994854107,16.753478200409365,1.8824124193911087,2.5934748795100058,+122.0,+113,-105,+122,-156.0,-143,-135,-135
202104300PHI,PHI,ATL,Joel Embiid,Clint Capela,ATL,PHI,PHI,ATL,False,25.291752714431738,22.729930258529247,0.8388252487481449,0.8275964852932679,-164.0,-143,-135,-135,+128.46781504986402,+113,-105,+128
202104300BOS,BOS,SAS,Robert Williams III,Jakob Poeltl,SAS,BOS,SAS,BOS,True,26.26633435881417,22.851355210555216,2.2406712717161223,0.97223461899576,+100.0,-118,-125,-100,-128.0,-108,-110,-108
202104300CLE,CLE,WAS,Jarrett Allen,Alex Len,CLE,WAS,CLE,WAS,True,26.083179938320377,21.101586092049715,0.8721352465087292,0.8520398241227185,-146.0,-129,-105,-105,+113.99999999999999,+101,-135,+114
202104300BRK,BRK,POR,Jusuf Nurkic,Jusuf Nurkic,POR,BRK,BRK,POR,False,21.81658287120396,26.221259304389008,0.8602896338869711,0.8481457331486397,+115.99999999999999,-113,-115,+116,-148.0,-113,-120,-113
202104300MEM,MEM,ORL,Jonas Valanciunas,Wendell Carter Jr.,MEM,ORL,MEM,ORL,True,23.293815393115807,22.65399497646817,0.8275259389516848,0.9095473944200656,-154.0,-125,-145,-125,+122.0,-103,+105,+122
202104300CHI,CHI,MIL,Nikola Vucevic,Brook Lopez,MIL,CHI,CHI,MIL,False,18.5852750272388,26.458517093212603,0.8583466319967167,0.8534477243279678,+126.0,-103,-115,+126,-162.0,-125,-115,-115
202104300PHO,PHO,UTA,Rudy Gobert,Rudy Gobert,UTA,PHO,UTA,PHO,True,22.35564894913238,24.792748974874385,0.868486454141651,0.8297102763863508,-104.0,-118,-125,-104,-122.0,-108,-110,-108
202104300LAL,LAL,SAC,Andre Drummond,Richaun Holmes,LAL,SAC,LAL,SAC,True,27.372645398577177,22.9260370391494,0.8553776639054204,0.9377581316779438,-174.0,-134,-145,-134,+136.0,+105,+105,+136
202105010HOU,HOU,GSW,Christian Wood,Kevon Looney,GSW,HOU,GSW,HOU,True,23.413867920039284,22.54084720024107,1.4156722161160773,1.515717477629099,+100.0,+104,-105,+104,-128.0,-132,-135,-128
202105010ATL,ATL,CHI,Clint Capela,Daniel Theis,ATL,CHI,CHI,ATL,False,22.84747221724476,20.287484101646378,0.8266007797909593,0.959557733372056,-142.0,-139,-125,-125,+112.00000000000001,+110,-110,+112
202105010CLE,CLE,MIA,Jarrett Allen,Bam Adebayo,CLE,MIA,MIA,CLE,False,26.12843484387108,24.145882057695445,0.8724605861892399,0.848470129291159,-106.0,-103,+105,+105,-120.0,-124,-145,-120
202105010MIN,MIN,NOP,Karl-Anthony Towns,Willy Hernangomez,MIN,NOP,NOP,MIN,False,25.12777927903443,18.29344504601163,0.830348908357543,2.445192533671485,-128.0,-107,-110,-107,+100.0,-120,-125,-100
202105010OKC,OKC,IND,Moses Brown,Domantas Sabonis,OKC,IND,IND,OKC,False,23.547003105677696,19.99928908447485,1.827769224368943,1.5109014463116492,-115.0,-114,-110,-110,-111.0,-112,-125,-111
